Timestamp,Asset_ID,Latitude,Longitude,Inventory_Level,Shipment_Status,Temperature,Humidity,Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Demand_Forecast,Hour,Day,Day_of_Week,Month,Month_Name,Is_Weekend,Utilization_Band,Inventory_Band,Inventory_Coverage,Purchase_Frequency_Band,Demand_Normalized,Utilization_Normalized,Waiting_Normalized,Operational_Stress_Score,Operational_Stress_Level,Week_of_Year,Time_Period,Inventory_Demand_Gap,Stock_Risk,Fleet_Load_Index,Fleet_Load_Index_Normalized,Demand_Score,Utilization_Score,Waiting_Score,Customer_Value_Index,Customer_Value_Segment,Traffic_Level,Traffic_Utilization_Interaction,Demand_Traffic_Interaction,Utilization_Waiting_Interaction,Pre_Dispatch_Stress_Score,Distance_From_Center,Actual_Delay,Delay_Probability,Predicted_Delay,Risk_Level
2024-11-19 04:06:22,Truck_4,72.8374,179.4522,349,In Transit,25.6,53.9,Heavy,26,189,9,Weather,77.1,285,4,19,1,11,November,0,Very High,Medium-High,1.224561403508772,High,0.925,0.4275,0.32,0.5575,Medium,47,Night,64,0,21973.5,0.6812311275989993,0.925,0.4275,0.32,1701,High Value,,,,2004.6,0.67625,193.4131332422979,1,0.9440009252113274,1,Critical Risk
2024-06-26 19:58:52,Truck_2,84.0215,75.4829,236,Delivered,19.4,57.2,Heavy,13,368,2,Weather,83.7,276,19,26,2,6,June,0,Very High,Medium-Low,0.855072463768116,Low,0.8800000000000001,0.5925000000000002,0.06,0.5108333333333335,Medium,26,Evening,-40,1,23101.2,0.7298766284186007,0.8800000000000001,0.5925000000000002,0.06,736,Medium Value,,,,1088.1,0.7362500000000002,113.410843579244,1,0.9438658157386101,1,Critical Risk
2024-03-06 02:39:46,Truck_8,-54.4964,-93.8603,286,Delivered,20.7,59.0,Heavy,43,387,4,Traffic,60.7,134,2,6,2,3,March,0,High,Medium-Low,2.1343283582089554,Medium-Low,0.17,0.0175,0.6599999999999999,0.2825,Low,10,Night,152,0,8133.8,0.0842291433008368,0.17,0.0175,0.6599999999999999,1548,High Value,,,,2610.1,0.09375,108.58662464961154,1,0.9434897113322783,1,Critical Risk
2024-10-01 09:21:06,Truck_7,61.9423,34.526,201,Delayed,23.9,57.8,Heavy,24,170,1,Mechanical Failure,90.8,104,9,1,1,10,October,0,Very High,Low,1.932692307692308,Low,0.02,0.77,0.2799999999999999,0.3566666666666667,Medium,40,Morning,97,0,9443.2,0.1407126218617893,0.02,0.77,0.2799999999999999,170,Low Value,,,,2179.2,0.395,71.70870473731014,1,0.941387561093746,1,Critical Risk
2024-09-05 05:28:16,Truck_6,57.1287,148.1805,279,Delivered,19.6,55.9,Heavy,30,187,9,Traffic,90.5,126,5,5,3,9,September,0,Very High,Medium-Low,2.2142857142857144,High,0.13,0.7625000000000002,0.3999999999999999,0.4308333333333334,Medium,36,Night,153,0,11403.0,0.2252523509619532,0.13,0.7625000000000002,0.3999999999999999,1683,High Value,,,,2715.0,0.4462500000000001,158.5276992890009,1,0.9411921055752951,1,Critical Risk
2024-10-07 13:44:52,Truck_10,-73.5498,115.0268,414,Delivered,26.8,73.9,Heavy,14,130,1,Mechanical Failure,86.9,267,13,7,0,10,October,0,Very High,High,1.550561797752809,Low,0.835,0.6725000000000003,0.08,0.5291666666666668,Medium,41,Afternoon,147,0,23202.300000000003,0.7342377706841516,0.835,0.6725000000000003,0.08,130,Low Value,,,,1216.6,0.7537500000000001,135.09497811087417,1,0.9398778608143155,1,Critical Risk
2024-01-13 18:59:02,Truck_6,14.1533,164.1186,286,In Transit,25.0,68.4,Heavy,50,382,5,Weather,71.9,283,18,13,5,1,January,1,High,Medium-Low,1.010600706713781,Medium-Low,0.915,0.2975000000000003,0.8,0.6708333333333334,High,2,Evening,3,0,20347.7,0.6110991286342853,0.915,0.2975000000000003,0.8,1910,High Value,,,,3595.0000000000005,0.6062500000000002,164.0168597418681,1,0.9397870023693097,1,Critical Risk
2024-05-17 11:54:58,Truck_5,-11.6172,47.739,135,Delayed,24.7,67.1,Heavy,26,380,7,Traffic,64.6,109,11,17,4,5,May,0,High,Low,1.238532110091743,Medium-High,0.045,0.1149999999999999,0.32,0.16,Low,20,Morning,26,0,7041.4,0.0371063756362695,0.045,0.1149999999999999,0.32,2660,Very High Value,,,,1679.6,0.08,48.010428754614615,1,0.9391477206178026,1,Critical Risk
2024-09-26 10:33:52,Truck_5,84.8041,86.1533,438,Delayed,20.6,79.3,Heavy,37,431,5,Mechanical Failure,71.7,246,10,26,3,9,September,0,High,High,1.7804878048780488,Medium-Low,0.73,0.2925000000000002,0.54,0.5208333333333334,Medium,39,Morning,192,0,17638.2,0.4942196531791908,0.73,0.2925000000000002,0.54,2155,High Value,,,,2652.9,0.5112500000000001,121.25646699524172,1,0.9387616690208334,1,Critical Risk
2024-09-09 05:33:17,Truck_6,41.7679,-95.8135,262,In Transit,24.5,50.1,Heavy,20,387,2,Weather,95.0,145,5,9,0,9,September,0,Very High,Medium-Low,1.806896551724138,Low,0.2249999999999999,0.875,0.2,0.4333333333333333,Medium,37,Night,117,0,13775.0,0.3275731170735916,0.2249999999999999,0.875,0.2,774,Medium Value,,,,1900.0,0.55,105.8364414952475,1,0.9385335927292084,1,Critical Risk
2024-11-23 19:15:58,Truck_10,-31.9959,164.6097,417,In Transit,23.8,50.7,Heavy,47,278,2,,88.7,226,19,23,5,11,November,1,Very High,High,1.845132743362832,Low,0.6300000000000001,0.7175000000000002,0.74,0.6958333333333334,High,47,Evening,191,0,20046.2,0.5980933482874645,0.6300000000000001,0.7175000000000002,0.74,556,Low Value,,,,4168.900000000001,0.6737500000000002,166.61342665995505,1,0.9353667462668513,1,Critical Risk
2024-10-20 02:07:47,Truck_7,-3.5038,21.9533,268,Delivered,18.7,69.5,Heavy,39,101,9,Mechanical Failure,77.1,205,2,20,6,10,October,1,Very High,Medium-Low,1.3073170731707318,High,0.5249999999999999,0.4275,0.5800000000000001,0.5108333333333334,Medium,42,Night,63,0,15805.499999999998,0.4151626261754809,0.5249999999999999,0.4275,0.5800000000000001,909,Medium Value,,,,3006.9,0.4762499999999999,21.224786028016062,1,0.9349929223888834,1,Critical Risk
2024-05-19 11:10:13,Truck_2,57.555,179.2349,448,In Transit,21.5,55.7,Heavy,55,500,2,Mechanical Failure,86.7,173,11,19,6,5,May,1,Very High,High,2.5895953757225434,Low,0.365,0.6675,0.9000000000000001,0.6441666666666667,Medium,20,Morning,275,0,14999.1,0.3803770166508499,0.365,0.6675,0.9000000000000001,1000,Medium Value,,,,4768.5,0.51625,187.87437668070743,1,0.9349182170215283,1,Critical Risk
2024-06-10 09:00:08,Truck_7,68.1545,43.8007,246,In Transit,22.0,58.1,Heavy,54,128,7,Traffic,61.0,265,9,10,0,6,June,0,High,Medium-Low,0.9283018867924528,Medium-High,0.825,0.0250000000000001,0.8800000000000001,0.5766666666666668,Medium,24,Morning,-19,1,16165.0,0.4306703476835476,0.825,0.0250000000000001,0.8800000000000001,896,Medium Value,,,,3294.0,0.425,81.71997246809684,1,0.9332735086174228,1,Critical Risk
2024-09-15 01:08:22,Truck_5,-10.7414,-56.5849,331,Delivered,21.6,61.2,Heavy,24,450,8,Traffic,64.4,123,1,15,6,9,September,1,High,Medium-High,2.6910569105691056,Medium-High,0.1149999999999999,0.1100000000000003,0.2799999999999999,0.1683333333333334,Low,37,Night,208,0,7921.200000000001,0.0750582348373739,0.1149999999999999,0.1100000000000003,0.2799999999999999,3600,Very High Value,,,,1545.6,0.1125000000000001,58.18323765490801,1,0.9329592795045515,1,Critical Risk
2024-04-11 04:39:16,Truck_10,-33.9528,-54.2201,384,In Transit,24.2,72.5,Heavy,50,131,3,Weather,80.1,141,4,11,3,4,April,0,Very High,Medium-High,2.723404255319149,Low,0.2049999999999999,0.5025,0.8,0.5025,Medium,15,Night,243,0,11294.1,0.2205547407471313,0.2049999999999999,0.5025,0.8,393,Low Value,,,,4005.0,0.3537499999999999,63.98104579216243,1,0.9328149352704077,1,Critical Risk
2024-10-08 14:00:54,Truck_7,-49.8421,-83.2963,324,Delivered,22.2,62.9,Heavy,50,365,7,Weather,95.8,210,14,8,1,10,October,0,Very High,Medium-High,1.542857142857143,Medium-High,0.55,0.895,0.8,0.7483333333333334,High,41,Afternoon,114,0,20118.0,0.6011905788974204,0.55,0.895,0.8,2555,Very High Value,,,,4790.0,0.7225,97.1026541277981,1,0.9313989592822641,1,Critical Risk
2024-10-20 12:32:47,Truck_1,64.0594,-102.2596,195,In Transit,19.3,70.6,Heavy,34,134,2,Traffic,98.2,220,12,20,6,10,October,1,Very High,Low,0.8863636363636364,Low,0.6000000000000001,0.955,0.48,0.6783333333333333,High,42,Afternoon,-25,1,21604.0,0.6652920369252007,0.6000000000000001,0.955,0.48,268,Low Value,,,,3338.8,0.7775000000000001,122.10089691092088,1,0.930973419074579,1,Critical Risk
2024-12-13 17:26:27,Truck_5,-9.8416,87.3444,467,Delayed,26.5,62.1,Heavy,54,222,2,Traffic,97.3,259,17,13,4,12,December,0,Very High,High,1.803088803088803,Low,0.7949999999999999,0.9325,0.8800000000000001,0.8691666666666666,High,50,Evening,208,0,25200.7,0.8204425847640411,0.7949999999999999,0.9325,0.8800000000000001,444,Low Value,,,,5254.2,0.86375,86.9221362031268,1,0.9306331311557733,1,Critical Risk
2024-04-27 09:13:01,Truck_5,82.9727,171.1469,317,Delayed,26.5,52.7,Heavy,37,427,2,Traffic,69.9,233,9,27,5,4,April,1,High,Medium-High,1.3605150214592274,Low,0.665,0.2475000000000002,0.54,0.4841666666666668,Medium,17,Morning,84,0,16286.7,0.4359201104305065,0.665,0.2475000000000002,0.54,854,Medium Value,,,,2586.3,0.4562500000000001,190.04595573023587,1,0.9300956646800658,1,Critical Risk
2024-11-27 09:05:44,Truck_9,41.7285,131.8376,278,Delivered,22.8,52.9,Heavy,18,104,4,Traffic,71.2,190,9,27,2,11,November,0,High,Medium-Low,1.4631578947368422,Medium-Low,0.45,0.2800000000000002,0.1599999999999999,0.2966666666666668,Low,48,Morning,88,0,13528.0,0.3169182986800104,0.45,0.2800000000000002,0.1599999999999999,416,Low Value,,,,1281.6,0.3650000000000001,137.90493537488965,1,0.9296930184587745,1,Critical Risk
2024-05-03 22:24:53,Truck_10,-21.2573,12.4574,459,In Transit,26.4,50.6,Heavy,17,222,9,Traffic,94.9,265,22,3,4,5,May,0,Very High,High,1.7320754716981133,High,0.825,0.8725,0.14,0.6124999999999999,Medium,18,Late_Evening,194,0,25148.5,0.81819083771892,0.825,0.8725,0.14,1998,High Value,,,,1613.3000000000002,0.84875,23.04194917983038,1,0.9294435609115383,1,Critical Risk
2024-03-16 13:20:30,Truck_9,-89.0981,33.8294,226,In Transit,18.6,77.9,Heavy,30,252,10,,67.3,145,13,16,5,3,March,1,High,Medium-Low,1.5586206896551724,High,0.2249999999999999,0.1825000000000001,0.3999999999999999,0.2691666666666667,Low,11,Afternoon,81,0,9758.5,0.1543136916573203,0.2249999999999999,0.1825000000000001,0.3999999999999999,2520,Very High Value,,,,2019.0,0.20375,93.73608255964255,1,0.928903427238017,1,Critical Risk
2024-05-07 12:49:54,Truck_2,77.436,42.529,249,Delivered,24.3,78.8,Heavy,13,125,2,Mechanical Failure,78.7,165,12,7,1,5,May,0,Very High,Medium-Low,1.509090909090909,Low,0.325,0.4675000000000002,0.06,0.2841666666666667,Low,19,Afternoon,84,0,12985.5,0.2935165214390476,0.325,0.4675000000000002,0.06,250,Low Value,,,,1023.1,0.3962500000000001,89.14618890088666,1,0.9280645431350821,1,Critical Risk
2024-11-17 12:35:32,Truck_8,-28.2385,-87.7617,244,Delayed,29.1,67.2,Heavy,18,118,5,Traffic,70.5,290,12,17,6,11,November,1,High,Medium-Low,0.8413793103448276,Medium-Low,0.95,0.2625000000000002,0.1599999999999999,0.4575,Medium,46,Afternoon,-46,1,20445.0,0.615296350616858,0.95,0.2625000000000002,0.1599999999999999,590,Low Value,,,,1269.0,0.6062500000000001,92.58610636054216,1,0.9278179109926894,1,Critical Risk
2024-03-09 09:56:32,Truck_4,76.8582,-8.4829,475,In Transit,24.3,52.6,Heavy,55,283,6,Weather,95.9,173,9,9,5,3,March,1,Very High,High,2.745664739884393,Medium-Low,0.365,0.8975000000000004,0.9000000000000001,0.7208333333333335,High,10,Morning,302,0,16590.7,0.4490337330687602,0.365,0.8975000000000004,0.9000000000000001,1698,High Value,,,,5274.5,0.6312500000000002,78.77158589718647,1,0.9262998485826559,1,Critical Risk
2024-04-01 16:27:12,Truck_4,42.6032,146.1485,226,Delivered,23.9,61.2,Heavy,13,211,2,Mechanical Failure,67.5,232,16,1,0,4,April,0,High,Medium-Low,0.9741379310344828,Low,0.6599999999999999,0.1875,0.06,0.3025,Low,14,Evening,-6,1,15660.0,0.4088862048140799,0.6599999999999999,0.1875,0.06,422,Low Value,,,,877.5,0.4237499999999999,151.81629990557963,1,0.9256561244143298,1,Critical Risk
2024-11-16 16:38:18,Truck_4,77.0206,0.8221,485,Delayed,24.6,50.3,Heavy,11,155,1,Mechanical Failure,84.9,161,16,16,5,11,November,1,Very High,High,3.012422360248447,Low,0.305,0.6225,0.0199999999999999,0.3158333333333333,Low,46,Evening,324,0,13668.9,0.3229962902251748,0.305,0.6225,0.0199999999999999,155,Low Value,,,,933.9,0.46375,78.3806940255399,1,0.9252592099112159,1,Critical Risk
2024-11-26 11:25:34,Truck_4,53.447,-162.7863,274,Delayed,22.0,51.1,Heavy,38,175,4,Traffic,64.0,271,11,26,1,11,November,0,High,Medium-Low,1.011070110701107,Medium-Low,0.855,0.1,0.56,0.505,Medium,48,Morning,3,0,17344.0,0.4815287723233543,0.855,0.1,0.56,700,Low Value,,,,2432.0,0.4775,172.5584472128679,1,0.9234637476893258,1,Critical Risk
2024-01-26 17:18:01,Truck_7,-80.9601,52.614,158,In Transit,29.7,78.2,Heavy,43,334,5,Weather,72.7,181,17,26,4,1,January,0,High,Low,0.8729281767955801,Medium-Low,0.405,0.3175000000000001,0.6599999999999999,0.4608333333333334,Medium,4,Evening,-23,1,13158.7,0.3009878353895264,0.405,0.3175000000000001,0.6599999999999999,1670,High Value,,,,3126.1,0.36125,94.95795829361457,1,0.9233496884525272,1,Critical Risk
2024-08-18 05:51:47,Truck_7,-58.4321,-90.5118,315,Delivered,23.5,68.6,Heavy,20,372,1,,63.8,221,5,18,6,8,August,1,High,Medium-High,1.4253393665158371,Low,0.605,0.0949999999999999,0.2,0.3,Low,33,Night,94,0,14099.8,0.341583987576568,0.605,0.0949999999999999,0.2,372,Low Value,,,,1276.0,0.35,107.71177384121331,1,0.9222968264853568,1,Critical Risk
2024-12-28 10:23:37,Truck_4,-35.2452,78.2544,306,Delayed,26.1,74.8,Heavy,37,232,7,,77.1,289,10,28,5,12,December,1,Very High,Medium-High,1.0588235294117647,Medium-High,0.945,0.4275,0.54,0.6375000000000001,Medium,52,Morning,17,0,22281.9,0.694534552670175,0.945,0.4275,0.54,1624,High Value,,,,2852.7,0.68625,84.50826441745332,1,0.9195886024246909,1,Critical Risk
2024-04-18 04:50:13,Truck_5,-36.6154,-46.3008,468,Delivered,26.6,59.0,Heavy,16,144,4,Weather,86.8,276,4,18,3,4,April,0,Very High,High,1.6956521739130437,Medium-Low,0.8800000000000001,0.6699999999999999,0.12,0.5566666666666666,Medium,16,Night,192,0,23956.8,0.7667845742386334,0.8800000000000001,0.6699999999999999,0.12,576,Low Value,,,,1388.8,0.775,58.8635158547952,1,0.9164581112997148,1,Critical Risk
2024-03-24 12:07:04,Truck_4,-84.6425,70.457,262,In Transit,23.4,62.0,Heavy,36,272,7,,82.9,146,12,24,6,3,March,1,Very High,Medium-Low,1.7945205479452055,Medium-High,0.2299999999999999,0.5725000000000002,0.52,0.4408333333333334,Medium,12,Afternoon,116,0,12103.4,0.2554654473298249,0.2299999999999999,0.5725000000000002,0.52,1904,High Value,,,,2984.4,0.4012500000000001,108.54905330543406,1,0.9131343055229652,1,Critical Risk
2024-02-29 23:31:58,Truck_8,-30.946,-65.5352,435,Delayed,24.7,75.3,Heavy,41,245,2,Weather,87.1,232,23,29,3,2,February,0,Very High,High,1.875,Low,0.6599999999999999,0.6774999999999998,0.6200000000000001,0.6525,Medium,9,Late_Evening,203,0,20207.2,0.60503839185575,0.6599999999999999,0.6774999999999998,0.6200000000000001,490,Low Value,,,,3571.1,0.6687499999999998,72.66774622021056,1,0.9115381518381507,1,Critical Risk
2024-04-30 19:31:45,Truck_8,67.8612,174.7961,473,Delayed,24.8,61.7,Heavy,19,360,10,Weather,97.3,186,19,30,1,4,April,0,Very High,High,2.543010752688172,High,0.43,0.9325,0.18,0.5141666666666668,Medium,18,Evening,287,0,18097.8,0.514045380036235,0.43,0.9325,0.18,3600,Very High Value,,,,1848.7,0.6812500000000001,187.22536903108835,1,0.9109060549752243,1,Critical Risk
2024-02-27 15:58:37,Truck_1,63.9549,-128.7581,444,In Transit,20.8,63.9,Heavy,38,203,1,Weather,73.7,201,15,27,1,2,February,0,High,High,2.208955223880597,Low,0.5050000000000001,0.3425000000000002,0.56,0.4691666666666668,Medium,9,Afternoon,243,0,14813.7,0.3723794323181779,0.5050000000000001,0.3425000000000002,0.56,203,Low Value,,,,2800.6,0.4237500000000002,145.12391559199068,1,0.9106106070461052,1,Critical Risk
2024-04-23 08:06:46,Truck_10,9.8934,13.9028,338,Delivered,28.7,65.6,Heavy,45,348,8,Traffic,96.1,230,8,23,1,4,April,0,Very High,Medium-High,1.4695652173913043,Medium-High,0.6500000000000001,0.9025,0.7,0.7508333333333334,High,17,Morning,108,0,22103.0,0.6868173582952292,0.6500000000000001,0.9025,0.7,2784,Very High Value,,,,4324.5,0.77625,17.24398293624202,1,0.9099635509119837,1,Critical Risk
2024-12-21 10:48:36,Truck_7,3.9786,-135.2219,367,Delayed,27.0,55.1,Heavy,47,449,9,Mechanical Failure,99.7,109,10,21,5,12,December,1,Very High,Medium-High,3.36697247706422,High,0.045,0.9925000000000002,0.74,0.5925,Medium,51,Morning,258,0,10867.3,0.2021439047536882,0.045,0.9925000000000002,0.74,4041,Very High Value,,,,4685.900000000001,0.51875,136.16364865282551,1,0.9078580071021309,1,Critical Risk
2024-07-22 16:30:00,Truck_6,89.8701,73.6867,264,Delivered,26.9,70.0,Heavy,32,188,1,Weather,79.2,213,16,22,0,7,July,0,Very High,Medium-Low,1.2394366197183098,Low,0.565,0.4800000000000002,0.44,0.495,Medium,30,Evening,51,0,16869.600000000002,0.4610646191010268,0.565,0.4800000000000002,0.44,188,Low Value,,,,2534.4,0.5225000000000001,116.74767538253096,1,0.906511567968045,1,Critical Risk
2024-08-07 09:39:53,Truck_8,16.1144,-24.4118,488,Delivered,26.5,66.6,Heavy,41,104,1,Mechanical Failure,67.1,151,9,7,2,8,August,0,High,High,3.2317880794701987,Low,0.255,0.1775,0.6200000000000001,0.3508333333333334,Medium,32,Morning,337,0,10132.1,0.170429643689069,0.255,0.1775,0.6200000000000001,104,Low Value,,,,2751.1,0.21625,30.706062307018232,1,0.9055017254827514,1,Critical Risk
2024-04-22 22:47:46,Truck_2,-60.0975,-13.7518,495,In Transit,23.8,69.8,Heavy,22,487,9,Weather,86.1,108,22,22,0,4,April,0,Very High,High,4.583333333333333,High,0.04,0.6524999999999999,0.24,0.3108333333333333,Low,17,Late_Evening,387,0,9298.8,0.1344836511086187,0.04,0.6524999999999999,0.24,4383,Very High Value,,,,1894.2,0.3462499999999999,60.52204177240392,1,0.9052915319725291,1,Critical Risk
2024-06-17 14:43:11,Truck_9,0.4055,97.6022,266,Delivered,23.5,60.2,Heavy,57,108,2,Traffic,65.5,202,14,17,0,6,June,0,High,Medium-Low,1.316831683168317,Low,0.51,0.1375000000000001,0.9400000000000002,0.5291666666666668,Medium,25,Afternoon,64,0,13231.0,0.304106634457769,0.51,0.1375000000000001,0.9400000000000002,216,Low Value,,,,3733.5,0.3237500000000001,96.7812574036678,1,0.899952834608254,1,Critical Risk
2024-08-09 16:48:19,Truck_5,-11.147,-97.9335,106,Delayed,29.6,62.0,Heavy,54,410,9,Weather,62.3,111,16,9,4,8,August,0,High,Low,0.954954954954955,High,0.055,0.0575000000000001,0.8800000000000001,0.3308333333333334,Medium,32,Evening,-5,1,6915.299999999999,0.0316668104563885,0.055,0.0575000000000001,0.8800000000000001,3690,Very High Value,,,,3364.2,0.05625,99.25424366979716,1,0.8987977682833315,1,Critical Risk
2024-12-20 11:12:28,Truck_8,-12.452,-174.3397,135,In Transit,22.9,60.9,Heavy,42,379,8,Traffic,93.2,159,11,20,4,12,December,0,Very High,Low,0.8490566037735849,Medium-High,0.295,0.8300000000000001,0.6399999999999999,0.5883333333333333,Medium,51,Morning,-24,1,14818.8,0.3725994305927013,0.295,0.8300000000000001,0.6399999999999999,3032,Very High Value,,,,3914.4,0.5625,175.52755842016325,1,0.8977241658379456,1,Critical Risk
2024-02-04 01:08:26,Truck_10,-13.6168,-165.0825,349,In Transit,21.1,55.1,Heavy,13,453,10,Weather,65.1,111,1,4,6,2,February,1,High,Medium-High,3.144144144144144,High,0.055,0.1274999999999999,0.06,0.0808333333333333,Low,5,Night,238,0,7226.099999999999,0.0450737641273401,0.055,0.1274999999999999,0.06,4530,Very High Value,,,,846.3,0.09125,166.371642966789,1,0.8968316292447934,1,Critical Risk
2024-09-12 22:46:47,Truck_10,-7.3863,-44.8767,470,Delivered,25.1,70.3,Heavy,11,417,3,Mechanical Failure,76.5,126,22,12,3,9,September,0,Very High,High,3.73015873015873,Low,0.13,0.4125000000000001,0.0199999999999999,0.1875,Low,37,Late_Evening,344,0,9639.0,0.1491588301268225,0.13,0.4125000000000001,0.0199999999999999,1251,Medium Value,,,,841.5,0.27125,46.10924000805117,1,0.8959075761885257,1,Critical Risk
2024-09-10 19:41:42,Truck_1,-79.2584,125.5026,152,Delivered,22.8,65.2,Heavy,33,386,4,Weather,63.3,227,19,10,1,9,September,0,High,Low,0.6696035242290749,Medium-Low,0.635,0.0825,0.46,0.3925,Medium,37,Evening,-75,1,14369.1,0.3532007592097317,0.635,0.0825,0.46,1544,High Value,,,,2088.9,0.35875,147.00219701368957,1,0.8951856277973093,1,Critical Risk
